Transect,AL_artcal,AL_corfol,AL_cormac,AN_encrusting,AS_eresin,CB_filamentous,CCA,HC_arborescent,HC_bushy,HC_column,HC_encrusting,HC_foliose,HC_massive,HC_tabular,OC_arborescent,OC_bushy,OC_clustered,OC_digitate,OC_encrusting,OC_lobate,OC_massive,SG,SP_encrusting,SP_massive,SP_branching,Turf,ZO_encrusting
JialT2,0.045064393,0.000590467,0.008355703,0.000217373,0,0,0.279939694,0.033044365,0.043635796,0,0.08795335,0.004131056,0.012106586,0.04264798,0,0.006506735,0,0.024524333,0,0.001125069,0,0,0,0,0.001101464,0.37815819,0
JialT3,0.041484672,0.000547267,0.004501485,0,0,0,0.249668803,0.0321495,0.067364104,0.000509982,0.108577348,0.006886466,0.015148823,0.046444074,0,0.004402187,0,0.02515911,0,0,0,0,0,0,0.010576488,0.365928048,0.001678506
JialT4,0.048112523,0.001107079,0.006439221,0,0,0,0.278563222,0.027843803,0.062975848,9.05E-05,0.125909505,0.01299693,0.029362512,0.021249771,0.000969322,0.000582069,0,0.017831579,0,0.000108819,0,0,0,0,0.001197182,0.326747967,0.002219105
JialT5,0.056895024,0,0.003757015,0,0,0,0.289944212,0.018729118,0.055587695,0,0.098335675,0.00306928,0.008461785,0.0290194,0,0.002436557,0,0.037106654,0,0,0,0,0,0,0.005220237,0.352565168,0.001726261
LeidT1,0.017926087,0,0.000672272,0,0,0,0.207465375,0.013766006,0.021991311,0,0.141907983,0.046191032,0.011966611,0.040851076,0,0,0,0.089001266,0,0.028229132,0,0,0,0,0,0.366505778,0.001746718
LeidT2,0.010037864,0,0.000991151,0,0,0,0.188611498,0.010394044,0.048235016,0.000841219,0.175087899,0.007852475,0.03508357,0.023718562,0.000304102,0.001193086,0,0.059080767,0,0.008868558,0,0,0,0,0.001110241,0.404243426,0.001777972
LeidT3,0.013168728,0,0.002510664,0,0,0,0.19790887,0.053964717,0.049304277,0.002329749,0.135945596,0.044427164,0.020319758,0.020716494,0.000237295,0,0,0.038253089,0,0.000338524,0,0,0,0,0.004027897,0.391491337,0.004731046
LeidT4,0.021099609,0,0.002622488,0,0,0,0.263439841,0.047300789,0.051600313,0.001006303,0.089657199,0.003315412,0.035385343,0.021574356,0.000893683,0.000365824,0,0.052485094,0,0.007381785,0.000338963,0,0.000596524,0,0.012063819,0.371386665,0.00520974
LeidT5,0.017006946,3.71E-05,0.002242744,0,0,0,0.268868693,0.033815262,0.077893155,0.001204494,0.12511691,0.031965669,0.025889392,0.016855569,0.002257328,0.000387934,0,0.006797368,0,0,0,0,0,0,0.001344489,0.361496169,0
TiaoT1,0.019589343,0,0.002983077,0.000340858,0,0,0.105169721,0.118022419,0.013074943,0,0.1215492,0.032255021,0.035858673,0.153152135,0.000194111,0.009272028,0,0.001749557,0,0.000846544,0,0,0,0,0.004390756,0.333359894,0.005163596
